GEN,BEZ,AGS,Fälle Gestern bis 00Uhr,Änderungsrate (24 Std. bis 19.04 00:00),Fälle Heute bis 00Uhr,CV-Fälle Tagespiegel Verifizierung,Quelle 1,Gestrige Quellen,Zeit,Bestätigte GESAMTZAHL der Infektionsfälle (Crowdsourced),Genesen,Quarantäne,Stationär,Intensiv,Todesfälle,"Zeit (Datum, Uhrzeit) ","Quelle (Sollte nur Landesamt, Gesundheitsamt oder offiziell sein)",Contributor,NEU,"Bemerkungen (Anzahl, Uhrzeit) - MUSS EINGEBEN WENN ""GEPRÜFT"" - C=Fälle, G=Genesen, D=Todesfälle",Geprüft (1),Geprüft (2) Berechtigte,Zwischenstand Geprüft,IFSG Spalte,Genesen (verifiziert),Coronavirus Fälle heute (verifiziert),Coronavirus Todesfälle (verifiziert),"Quarantäne 
verifiziert",Todesfälle (COVID-19),Tests,Negativ Tests,Datum,Contributor.1,TWITTER,FACEBOOK/INSTAGRAM,Geschätzt,Geschätzt.1,Sicherung - Genesen,Sicherung - Todesfälle,Sicherung - Zeit,Sicherung - Bundesland,Sicherung - Post-Check,Geschätzt.2
Recklinghausen,Kreis,5562,932.0,3%,959,959.0,https://www.kreis-re.de/Inhalte/Buergerservice/Gesundheit_und_Ernaehrung/Infektionsschutz/Coronavirus.asp,http://www.presse-service.de/data.aspx/static/?ID=1042905.html,24/04/2020 10:10, 959,635.0,,,,19.0,24/04/2020 10:10,https://www.kreis-re.de/Inhalte/Buergerservice/Gesundheit_und_Ernaehrung/Infektionsschutz/Coronavirus.asp,@mittedeathsquad, 27,959 C 635 G 19 D Checked 12:09,@jonasfbb,@plateauton,1,814.0,635.0,917,19.0,,,,,,,,,3.0,610,612.0,18.0,23/04/2020,5,1.0,http://www.presse-service.de/data.aspx/static/?ID=1042905.html
Remscheid,Kreisfreie Stadt,5120,205.0,0%,205,,https://remscheid.de/pressearchiv/meldungen-2020/03-maerz/146380100000143530.php,https://remscheid.de/pressearchiv/meldungen-2020/03-maerz/146380100000143530.php#chapter146380100000143530-1015_sp_main_iterate_3_0,23/04/2020 00:00, 209,165.0, 321,16.0,3.0,12.0,24/04/2020,https://remscheid.de/pressearchiv/meldungen-2020/03-maerz/146380100000143530.php#chapter146380100000143530-1015_sp_main_iterate_3_0,@Elvte_76, 4,,,,0,196.0,143.0,203,11.0,690.0,,,,,,,,2.0,113,143.0,11.0,23/04/2020 00:00,5,1.0,https://remscheid.de/pressearchiv/meldungen-2020/03-maerz/146380100000143530.php#chapter146380100000143530-1015_sp_main_iterate_3_0
Rhein-Erft-Kreis,Kreis,5362,928.0,0%,928,,https://www.rhein-erft-kreis.de/coronavirus,https://www.rhein-erft-kreis.de/meldungenpresse/artikel/22-april-erstmals-mehr-genesene-als-aktuell-infizierte-drei-weitere,23/04/2020 14:30, 933,511.0, 521,43.0,12.0,55.0,24/04/2020,https://www.rhein-erft-kreis.de/meldungenpresse/artikel/24-april-fallzahlen-weiter-r%C3%BCckl%C3%A4ufig-zwei-neue-todesf%C3%A4lle-mit,@Colonia Claudia, 5,,,,0,867.0,483.0,921,53.0,1030.0,,,,,,,,15.0,648,483.0,53.0,23/04/2020,5,1.0,https://www.rhein-erft-kreis.de/meldungenpresse/artikel/22-april-erstmals-mehr-genesene-als-aktuell-infizierte-drei-weitere
Rhein-Kreis Neuss,Kreis,5162,572.0,0%,572,,https://www.rhein-kreis-neuss.de/de/verwaltung-politik/pressemeldungen/index.html,https://www.rhein-kreis-neuss.de/de/verwaltung-politik/pressemeldungen/2020/283-463-erkrankte-wieder-geheilt.html,23/04/2020 19:27, 576,477.0, 261,,,16.0,24/04/2020,https://rp-online.de/nrw/staedte/rhein-kreis/erkrankte-im-rhein-kreis-neuss-aktuell-83-personen-mit-dem-coronavirus-infiziert_aid-50230789,@Colonia Claudia, 4,,,,0,540.0,468.0,572,16.0,519.0,,,,,,,https://www.facebook.com/rheinkreisneuss/,8.0,502,468.0,16.0,23/04/2020,5,1.0,https://www.rhein-kreis-neuss.de/de/verwaltung-politik/pressemeldungen/2020/283-463-erkrankte-wieder-geheilt.html
Rhein-Sieg-Kreis,Kreis,5382,1.113,0%,1113,,https://www.rhein-sieg-kreis.de/verwaltung-politik/presse/index.php,https://www.rhein-sieg-kreis.de/presseinformationen/2020/April/sachstand-corona.php,23/04/2020 00:00,1 126,831.0,3 000,,,37.0,24/04/2020 17:00,https://www.rhein-sieg-kreis.de/presseinformationen/2020/April/162-sachstand-corona_19028.php,@mittedeathsquad, 13,,,,0,1025.0,814.0,1106,35.0,3000.0,,,,,,,,12.0,866,814.0,35.0,23/04/2020,5,1.0,https://www.rhein-sieg-kreis.de/presseinformationen/2020/April/sachstand-corona.php
Rheinisch-Bergischer Kreis,Kreis,5378,406.0,0%,406,,https://www.rbk-direkt.de/aktuelles.aspx,https://www.rbk-direkt.de/news/29947/corona-virus-404-bestaetigte-corona-faelle-im-rheinisch-bergischen-kreis--ein-weiterer-todesfall,23/04/2020 00:00, 413,301.0, 568,24.0,6.0,13.0,24.04.2020,https://www.rbk-direkt.de/news/29953/corona-virus-413-bestaetigte-corona-faelle-im-rheinisch-bergischen-kreis,@Elvte_76, 7,,,,0,397.0,297.0,404,13.0,668.0,,,,,,,,3.0,316,297.0,13.0,23/04/2020 00:00,5,1.0,https://www.rbk-direkt.de/news/29947/corona-virus-404-bestaetigte-corona-faelle-im-rheinisch-bergischen-kreis--ein-weiterer-todesfall
Siegen-Wittgenstein,Kreis,5970,283.0,0%,283,,https://www.siegen-wittgenstein.de/Kreisverwaltung/Aktuelles/Aktuelle-Meldungen,"https://www.siegen-wittgenstein.de/Kreisverwaltung/Aktuelles/Aktuelle-Meldungen/Erstmals-mehr-Genesene-als-Erkrankte-in-Siegen-Wittgenstein-Bereits-140-Genesene-seit-Beginn-der-Corona-Pandemie.php?object=tx,2170.14.1&ModID=7&FID=2170.2573.1&NavID=2170.58&La=1&call=suche",23/04/2020 00:00, 286,163.0, 116,13.0,3.0,7.0,24/04/2020 19:38,"https://www.siegen-wittgenstein.de/Kreisverwaltung/Aktuelles/Aktuelle-Meldungen/286-Infizierte-seit-Beginn-der-Corona-Pandemie-Zahl-der-aktuell-Erkrankten-sinkt-auf-116.php?object=tx,2170.14.1&ModID=7&FID=2170.2581.1&NavID=2170.58&La=1&call=suche",@LSDR, 3,,,,0,246.0,155.0,282,7.0,,,,,,,,,4.0,200,155.0,7.0,23/04/2020,5,1.0,"https://www.siegen-wittgenstein.de/Kreisverwaltung/Aktuelles/Aktuelle-Meldungen/Erstmals-mehr-Genesene-als-Erkrankte-in-Siegen-Wittgenstein-Bereits-140-Genesene-seit-Beginn-der-Corona-Pandemie.php?object=tx,2170.14.1&ModID=7&FID=2170.2573.1&NavID=2170.58&La=1&call=suche"
Soest,Kreis,5974,334.0,0%,334,,https://www.kreis-soest.de/pressemitteilungen/presseservice/index.php,https://www.kreis-soest.de/pressemitteilungen/presseservice/1042971.php,23/04/2020 16:00, 335,277.0,,6.0,2.0,4.0,24.04.2020 16:00,https://www.kreis-soest.de/pressemitteilungen/presseservice/1043220.php,@Elvte_76, 1,,,,0,332.0,271.0,334,4.0,,,,,,,,,2.0,283,271.0,4.0,23.04.2020 16:00,5,1.0,https://www.kreis-soest.de/pressemitteilungen/presseservice/1042971.php
Solingen,Kreisfreie Stadt,5122,217.0,1%,220,220.0,https://www.solingen.de/de/inhalt/coronavirus/,https://www.solingen.de/de/inhalt/coronavirus-statistik/,24/04/2020 11:40, 220,144.0, 111,19.0,,6.0,24/04/2020 11:40,https://www.solingen.de/de/inhalt/coronavirus-statistik/,@mittedeathsquad, 3,220 C 144 G 6 D Checked 12:24,@jonasfbb,Stain Fels,1,203.0,144.0,215,6.0,180.0,,,,,,,,1.0,160,144.0,5.0,23/04/2020 08:47,5,1.0,https://www.solingen.de/de/inhalt/coronavirus-statistik/
Städteregion Aachen,Kreis,5334,1.797,0%,1797,1812.0,http://www.aachen.de/DE/stadt_buerger/notfall_informationen/corona/aktuelles/index.html,http://www.aachen.de/DE/stadt_buerger/notfall_informationen/corona/aktuelles/index.html,23/04/2020 10:30,1 812,1357.0,,,,74.0,24/04/2020 12:35,http://www.aachen.de/DE/stadt_buerger/notfall_informationen/corona/aktuelles/index.html,@jonasfbb, 15,,,,0,1632.0,1324.0,1754,73.0,,,,,,,,,35.0,1367,1324.0,73.0,23.04.2020 10:30,5,1.0,http://www.aachen.de/DE/stadt_buerger/notfall_informationen/corona/aktuelles/index.html
Steinfurt,Kreis,5566,1.156,0%,1156,,https://www.kreis-steinfurt.de/kv_steinfurt/Aktuelles/Slider/Informationen%20Coronavirus/,https://www.kreis-steinfurt.de/kv_steinfurt/Aktuelles/Slider/Informationen%20Coronavirus/,23/04/2020 00:00,1 170,769.0, 344,,,57.0,24.04.2020 15:00,https://www.kreis-steinfurt.de/kv_steinfurt/Aktuelles/Slider/Informationen%20Coronavirus/,@Elvte_76, 14,,,,0,1096.0,730.0,1130,55.0,541.0,,,,,,,,12.0,806,730.0,55.0,23.04.2020 00:00,5,1.0,https://www.kreis-steinfurt.de/kv_steinfurt/Aktuelles/Slider/Informationen%20Coronavirus/
Unna,Kreis,5978,577.0,0%,577,,https://www.kreis-unna.de/nachrichten/n/?tx_news_pi1%5Bnews%5D=14220&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=31b36b644c47f5bc4011e1a3e334e130,https://www.kreis-unna.de/nachrichten/n/?tx_news_pi1%5Bnews%5D=14220&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=31b36b644c47f5bc4011e1a3e334e130,23/04/2020 15:00, 581,317.0,,20.0,,23.0,24.04.2020 12:00,https://www.kreis-unna.de/nachrichten/n/?tx_news_pi1%5Bnews%5D=14220&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=31b36b644c47f5bc4011e1a3e334e130,@Elvte_76, 4,,,,0,511.0,253.0,566,23.0,,,,,,,,,9.0,418,253.0,23.0,23.04.2020 15:00,5,1.0,https://www.kreis-unna.de/nachrichten/n/?tx_news_pi1%5Bnews%5D=14220&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=31b36b644c47f5bc4011e1a3e334e130
Viersen,Kreis,5166,572.0,4%,594,,https://www.kreis-viersen.de/,http://www.presse-service.de/data.aspx/static/1042981.html,24/04/2020 00:00, 594,341.0, 230,21.0,,26.0,24/04/2020,http://www.presse-service.de/data.aspx/static/1043224.html,@distanzreiter, 22,594 C 341 G 26 D Checked 16:54,@jonasfbb,@plateauton,1,498.0,341.0,567,26.0,374.0,,,,,,,,11.0,430,328.0,25.0,23.04.2020 13:00,5,1.0,http://www.presse-service.de/data.aspx/static/1042981.html
Warendorf,Kreis,5570,440.0,0%,440,,https://www.kreis-warendorf.de/aktuelles/presseinformationen/,https://www.kreis-warendorf.de/aktuelles/presseinformationen/101-akut-erkrankte-im-kreis-warendorf/,23/04/2020 00:00, 445,345.0, 259,,,9.0,24/04/2020,https://www.kreis-warendorf.de/aktuelles/presseinformationen/zahl-der-corona-infizierten-steigt-weiter-leicht-an/,@Colonia Claudia, 5,,,,0,421.0,342.0,434,9.0,500.0,,,,,,,,3.0,362,342.0,9.0,23/04/2020 00:00,5,1.0,https://www.kreis-warendorf.de/aktuelles/presseinformationen/101-akut-erkrankte-im-kreis-warendorf/
Wesel,Kreis,5170,477.0,2%,486,486.0,https://www.kreis-wesel.de/de/themen/coronavirus/,https://www.kreis-wesel.de/de/themen/coronavirus/,24/04/2020 00:00, 486,324.0,,,,19.0,24/04/2020,https://www.kreis-wesel.de/de/themen/coronavirus/,@Colonia Claudia, 9,486 C 324 G 19 D Checked 16:53,@jonasfbb,Stain Fels,1,437.0,324.0,468,19.0,,,,,,,,https://www.facebook.com/kreiswesel/,3.0,319,314.0,17.0,23.04.2020 13:30,5,1.0,https://www.kreis-wesel.de/de/themen/coronavirus/
Wuppertal,Kreisfreie Stadt,5124,763.0,1%,770,770.0,https://www.wuppertal.de/presse/meldungen/meldungen-2020/maerz20/zahlen-und-hotline-corona.php,https://www.wuppertal.de/presse/meldungen/meldungen-2020/maerz20/zahlen-und-hotline-corona.php,24/04/2020 09:00, 770,371.0, 852,74.0,,46.0,24.04.2020 09:00,https://www.wuppertal.de/presse/meldungen/meldungen-2020/maerz20/zahlen-und-hotline-corona.php,@distanzreiter, 7,770 C 371 G 46 D Checked 12:05,@jonasfbb,Stain Fels,1,700.0,371.0,760,46.0,1261.0,,,,,,,,10.0,423,352.0,44.0,23.04.2020 09:30,5,1.0,https://www.wuppertal.de/presse/meldungen/meldungen-2020/maerz20/zahlen-und-hotline-corona.php
Bergstraße,Landkreis,6431,297.0,0%,298,,https://www.kreis-bergstrasse.de/magazin/magazin.php?menuid=473&topmenu=467,https://www.kreis-bergstrasse.de/magazin/artikel.php?artikel=7478&menuid=473&topmenu=467,24/04/2020 00:00, 298,217.0,,7.0,,2.0,24.04.2020,https://www.kreis-bergstrasse.de/magazin/artikel.php?artikel=7491&menuid=473&topmenu=467,@Elvte_76, 1,C298 G217 S7 D2 21:39,Johannes,Maria,1,,217.0,295,2.0,,,,,,,,,1.0,252,216.0,2.0,23/04/2020 00:00,6,1.0,https://www.kreis-bergstrasse.de/magazin/artikel.php?artikel=7478&menuid=473&topmenu=467
Darmstadt,Kreisfreie Stadt,6411,179.0,2%,182,182.0,https://www.darmstadt.de/leben-in-darmstadt/informationen-zum-corona-virus,https://soziales.hessen.de/gesundheit/infektionsschutz/corona-hessen/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen,24/04/2020 00:00, 182,107.0,,2.0,,7.0,24/04/2020,https://soziales.hessen.de/sites/default/files/media/2020_04_24_bulletin_coronavirus.pdf,@Colonia Claudia, 3,182 C 7 D Checked 21:40,@jonasfbb,Stain Fels,1,,107.0,164,7.0,,,,,,,,,,99,107.0,7.0,23/04/2020,6,1.0,https://soziales.hessen.de/gesundheit/infektionsschutz/corona-hessen/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen
Darmstadt-Dieburg,Landkreis,6432,345.0,1%,349,349.0,https://perspektive.ladadi.de/index.php?id=137,https://soziales.hessen.de/sites/default/files/media/2020_04_22_bulletin_coronavirus.pdf,24/04/2020 00:00, 349,239.0,,16.0,10.0,13.0,24/04/2020,https://soziales.hessen.de/sites/default/files/media/2020_04_24_bulletin_coronavirus.pdf,@Colonia Claudia, 4,349 C 13 D (Landesmin.) G239 S16 I10 (LK) Checked 21:48,Johannes,@plateauton,1,,239.0,343,13.0,,,,,,,,,3.0,251,236.0,12.0,23/04/2020,6,1.0,https://soziales.hessen.de/sites/default/files/media/2020_04_22_bulletin_coronavirus.pdf
Frankfurt am Main,Kreisfreie Stadt,6412,1.1520000000000001,2%,1174,1174.0,https://soziales.hessen.de/gesundheit/infektionsschutz/coronavirus-sars-cov-2/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen,https://soziales.hessen.de/sites/default/files/media/2020_04_22_bulletin_coronavirus.pdf,24/04/2020 00:00,1 174,,,,,28.0,24/04/2020,https://soziales.hessen.de/sites/default/files/media/2020_04_24_bulletin_coronavirus.pdf,@Colonia Claudia, 22,1174 C 28 D Checked 21:43,@jonasfbb,@plateauton,1,,,1107,28.0,,,,,,,,,10.0,660,,26.0,23/04/2020,6,1.0,https://soziales.hessen.de/sites/default/files/media/2020_04_22_bulletin_coronavirus.pdf
Fulda,Landkreis,6631,294.0,1%,296,,https://www.fulda.de/buergerservice/aktuelle-informationen-zu-corona/,https://soziales.hessen.de/gesundheit/infektionsschutz/corona-hessen/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen,24/04/2020 14:00, 296,143.0, 718,17.0,4.0,9.0,24.04.2020 14:00,https://osthessen-news.de/n11631727/corona-falle-im-geisaer-land-sprunghaft-gestiegen-weitere-tote-in-bayern.html,@Elvte_76, 2,C296 G143 D9 S17 I4 Q718 21:43,Johannes,Maria,1,,143.0,293,9.0,,,2574.0,,,,,,2.0,240,100.0,8.0,23/04/2020,6,1.0,https://soziales.hessen.de/gesundheit/infektionsschutz/corona-hessen/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen
Gießen,Landkreis,6531,211.0,0%,212,,https://www.lkgi.de/gesundheit-und-soziales/3060-gesundheitsamt-informiert-br-ueber-coronavirus,https://www.lkgi.de/gesundheit-und-soziales/3060-gesundheitsamt-informiert-br-ueber-coronavirus,24/04/2020 00:00, 212,149.0,,6.0,,2.0,24.04.2020,https://www.lkgi.de/gesundheit-und-soziales/3060-gesundheitsamt-informiert-br-ueber-coronavirus,@Elvte_76, 1,C212 G149 S6 D2 21:42,Maria,Johannes,1,,149.0,207,2.0,,,,,,,,,,179,149.0,2.0,23/04/2020 20:00,6,1.0,https://www.lkgi.de/gesundheit-und-soziales/3060-gesundheitsamt-informiert-br-ueber-coronavirus
Groß-Gerau,Landkreis,6433,388.0,2%,395,395.0,https://www.kreisgg.de/gesundheit/infektionsschutz/coronavirus/,https://www.kreisgg.de/gesundheit/infektionsschutz/coronavirus/,24/04/2020 13:30, 395,248.0,,,,6.0,24.04.2020 13:30,https://www.kreisgg.de/gesundheit/infektionsschutz/coronavirus/,@Elvte_76, 7,C395 G248 D6 21:42,Maria,@plateauton,1,,248.0,375,6.0,,,,,,,,,2.0,270,233.0,4.0,23/04/2020 20:00,6,1.0,https://www.kreisgg.de/gesundheit/infektionsschutz/coronavirus/
Hersfeld-Rotenburg,Landkreis,6632,195.0,0%,195,,https://www.hef-rof.de/,https://www.hef-rof.de/,24/04/2020 16:00, 195,91.0,,,,21.0,24.04.2020 16:00,https://www.hef-rof.de/,@Elvte_76,0,C195 G91 D21 21:41,Maria,Johannes,1,,91.0,195,21.0,,,,,,,,,11.0,142,91.0,21.0,23/04/2020 20:00,6,0.0,https://www.hef-rof.de/
Hochtaunuskreis,Landkreis,6434,230.0,0%,231,,https://www.hochtaunuskreis.de/Informationen+der+Kreisverwaltung+zum+Corona+Virus/Informationen+f%C3%BCr+die+B%C3%BCrger+des+HTK/Aktuelle+Zahlen+aus+dem+Hochtaunuskreis.html,https://www.hochtaunuskreis.de/Informationen+der+Kreisverwaltung+zum+Corona+Virus/Informationen+f%C3%BCr+die+B%C3%BCrger+des+HTK/Aktuelle+Zahlen+aus+dem+Hochtaunuskreis.html,24/04/2020 00:00, 231,153.0,,,,5.0,24.04.2020,https://www.hochtaunuskreis.de/Informationen+der+Kreisverwaltung+zum+Corona+Virus/Informationen+f%C3%BCr+die+B%C3%BCrger+des+HTK/Aktuelle+Zahlen+aus+dem+Hochtaunuskreis.html,@Elvte_76, 1,C231 G153 D5 21:41,Maria,Johannes,1,,153.0,228,5.0,,,,,,,,,1.0,200,152.0,5.0,23.04.2020 20:00,6,1.0,https://www.hochtaunuskreis.de/Informationen+der+Kreisverwaltung+zum+Corona+Virus/Informationen+f%C3%BCr+die+B%C3%BCrger+des+HTK/Aktuelle+Zahlen+aus+dem+Hochtaunuskreis.html
Kassel,Kreisfreie Stadt,6611,207.0,1%,209,,https://www.kassel.de/aktuelles/aktuelle-meldungen/coronavirus.php,https://www.kassel.de/aktuelles/aktuelle-meldungen/coronavirus.php,24/04/2020 09:30, 209,109.0,,,,6.0,24.04.2020 09:30,https://www.kassel.de/aktuelles/aktuelle-meldungen/coronavirus.php,@Elvte_76, 2,C209 G109 D6 20:55,Maria,Johannes,1,,109.0,203,6.0,,,,,,,,,2.0,117,107.0,6.0,23/04/2020 09:30,6,1.0,https://www.kassel.de/aktuelles/aktuelle-meldungen/coronavirus.php
Kassel,Landkreis,6633,284.0,3%,292,,https://www.kassel.de/aktuelles/aktuelle-meldungen/coronavirus.php,https://www.kassel.de/aktuelles/aktuelle-meldungen/coronavirus.php,24/04/2020 09:30, 292,126.0,,50.0,12.0,20.0,24.04.2020 09:30,https://soziales.hessen.de/gesundheit/infektionsschutz/corona-hessen/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen,@Elvte_76, 8,C292 D20 20:56 G126 S50 I12 vom LK,Maria,Johannes,1,,126.0,270,20.0,,,,,,,,,3.0,142,123.0,18.0,23/04/2020,6,1.0,https://www.kassel.de/aktuelles/aktuelle-meldungen/coronavirus.php
Lahn-Dill-Kreis,Landkreis,6532,326.0,2%,331,331.0,https://www.lahn-dill-kreis.de/buergerservice/gesundheitsamt/hygiene-infektion/lahn-dill-kreisdecoronavirus/,https://www.lahn-dill-kreis.de/buergerservice/gesundheitsamt/hygiene-infektion/lahn-dill-kreisdecoronavirus/,24/04/2020 10:30, 331,253.0, 147,,,16.0,24.04.2020 10:30,https://www.lahn-dill-kreis.de/buergerservice/gesundheitsamt/hygiene-infektion/lahn-dill-kreisdecoronavirus/,@distanzreiter, 5,C331 G253 Q147 D16 21:40,Maria,@plateauton,1,,253.0,325,16.0,486.0,,,,,,,,6.0,273,243.0,16.0,23/04/2020 09:30,6,1.0,https://www.lahn-dill-kreis.de/buergerservice/gesundheitsamt/hygiene-infektion/lahn-dill-kreisdecoronavirus/
Limburg-Weilburg,Landkreis,6533,244.0,2%,248,,https://www.landkreis-limburg-weilburg.de/,https://soziales.hessen.de/gesundheit/infektionsschutz/corona-hessen/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen,24/04/2020 12:00, 248,201.0, 197,,,3.0,24.04.2020 12:00,https://soziales.hessen.de/gesundheit/infektionsschutz/corona-hessen/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen,@Elvte_76, 4,C248 D3 21:05,MAria,Johannes,1,,201.0,241,3.0,289.0,,,,,,,,1.0,203,196.0,2.0,23/04/2020 20:00,6,1.0,https://soziales.hessen.de/gesundheit/infektionsschutz/corona-hessen/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen
Main-Kinzig-Kreis,Landkreis,6435,537.0,3%,555,,https://www.mkk.de/aktuelles/pressemitteilungen_1/pressemitteilungen_liste.html,https://www.mkk.de/aktuelles/pressemitteilungen_1/pressemitteilung_1223680.html,24/04/2020 00:00, 555,147.0,,53.0,,28.0,24/04/2020,https://www.mkk.de/aktuelles/pressemitteilungen_1/pressemitteilung_1226369.html,@Elvte_76, 18,C555 G147 S53 D28 21:39,MAria,Johannes,1,,147.0,529,28.0,,,,,,,,,5.0,301,140.0,28.0,23/04/2020 00:00,6,1.0,https://www.mkk.de/aktuelles/pressemitteilungen_1/pressemitteilung_1223680.html
Main-Taunus-Kreis,Landkreis,6436,250.0,2%,254,,https://www.mtk.org/Aktuelles-8727.htm,https://www.mtk.org/statics/ds_doc/downloads/20_0422Fallzahlen_neu_aktuell.pdf,24/04/2020 16:45, 254,184.0,,,,5.0,24.04.2020 16:45,https://www.mtk.org/statics/ds_doc/downloads/20_0424Fallzahlen.pdf,@Elvte_76, 4,C254 G184 D5 21:39,Maria,Johannes,1,,184.0,243,5.0,,,,,,,,,3.0,185,179.0,5.0,23/04/2020 16:45,6,1.0,https://www.mtk.org/statics/ds_doc/downloads/20_0422Fallzahlen_neu_aktuell.pdf
Marburg-Biedenkopf,Landkreis,6534,190.0,2%,193,,https://www.marburg-biedenkopf.de/dienste_und_leistungen/inhalte/index.php,https://www.marburg-biedenkopf.de/Pressemitteilungen/2020/april/corona/149-2020-Corona-Folgemeldung-41.php,24/04/2020 00:00, 193,162.0,,6.0,4.0,1.0,24.04.2020,https://www.marburg-biedenkopf.de/Pressemitteilungen/2020/april/corona/153-2020-Corona-Folgemeldung-43.php,@Elvte_76, 3,C193 G162 D1 21:36,Maria,Johannes,1,,162.0,189,1.0,,,,,,,,,1.0,163,159.0,1.0,23/04/2020 00:00,6,1.0,https://www.marburg-biedenkopf.de/Pressemitteilungen/2020/april/corona/149-2020-Corona-Folgemeldung-41.php
Odenwaldkreis,Landkreis,6437,309.0,2%,314,,https://www.odenwaldkreis.de/index.php?id=154,https://www.odenwaldkreis.de/index.php?id=195&tx_news_pi1%5Bnews%5D=2267&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=c24ef7c957c7b3b0abdeaf3405ec499a,24/04/2020 00:00, 314,152.0,,31.0,4.0,43.0,24.04.2020,https://soziales.hessen.de/gesundheit/infektionsschutz/corona-hessen/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen,@Elvte_76, 5,C314 21:08 G152 S31 I4 D43 vom LK,Maria,Johannes,1,,152.0,292,43.0,,,,,,,,https://www.facebook.com/odenwaldkreis/,15.0,161,145.0,42.0,23/04/2020,6,1.0,https://www.odenwaldkreis.de/index.php?id=195&tx_news_pi1%5Bnews%5D=2267&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=c24ef7c957c7b3b0abdeaf3405ec499a
Offenbach,Landkreis,6438,414.0,2%,422,422.0,https://www.kreis-offenbach.de/Themen/Gesundheit-Verbraucher-schutz/akut/Corona,https://www.kreis-offenbach.de/Themen/Gesundheit-Verbraucher-schutz/akut/Corona,24/04/2020 00:00, 422,221.0,,18.0,,20.0,24/04/2020,"https://www.kreis-offenbach.de/Themen/Gesundheit-Verbraucher-schutz/akut/Corona/Corona-Zahl-der-Genesenen-steigt.php?object=tx,2896.5&ModID=7&FID=2896.8873.1&NavID=2896.1061&La=1",@Colonia Claudia, 8,C422 G221 S18 D20 21:31,Maria,Johannes,1,,221.0,402,20.0,,,,,,,,,8.0,273,185.0,20.0,23.04.2020,6,1.0,https://www.kreis-offenbach.de/Themen/Gesundheit-Verbraucher-schutz/akut/Corona
Offenbach am Main,Kreisfreie Stadt,6413,75.0,0%,75,,https://www.offenbach.de/leben-in-of/gesundheit/dir-6/corona/coronavirus_meldungen.php,https://www.offenbach.de/leben-in-of/gesundheit/dir-6/corona/coronavirus_meldungen.php,24/04/2020 00:00, 75,35.0, 120,11.0,3.0,5.0,24.04.2020,https://www.offenbach.de/leben-in-of/gesundheit/dir-6/corona/coronavirus_meldungen.php#c0,@Elvte_76,0,C75 G35 Q120 S11 I3 D5 21:29,Stain Fels,Maria,1,,35.0,74,5.0,20.0,,,,,,,,1.0,47,33.0,5.0,23/04/2020,6,1.0,https://www.offenbach.de/leben-in-of/gesundheit/dir-6/corona/coronavirus_meldungen.php
Rheingau-Taunus-Kreis,Landkreis,6439,191.0,0%,191,,https://www.rheingau-taunus.de/aktuelles/hinweise/detail/informationen-zum-coronavirus.html,https://www.rheingau-taunus.de/fileadmin/forms/corona-virus/coronavirus_fallzahlen_kw17.pdf,24/04/2020 11:00, 191,164.0,,22.0,,3.0,24.04.2020 11:00,https://www.rheingau-taunus.de/corona.html,@bandur,0,C191 D3 21:27,Maria,Johannes,1,,164.0,191,3.0,,,,,,,,,1.0,166,164.0,3.0,23/04/2020,6,0.0,https://www.rheingau-taunus.de/fileadmin/forms/corona-virus/coronavirus_fallzahlen_kw17.pdf
